ai41_prediction,failure_type,ai41_confidence,sensor_anomaly_score,swat_status,ppe_risk_score,helmet_missing,vest_missing,mask_missing,worker_count,vehicle_count,machinery_count,compliance_score,permit_conflict_score,shift_context_score,permit_type,permit_active,maintenance_active,isolation_verified,workers_in_zone,supervisor_present,shift_change_flag,is_critical
0,No Failure,0.4,0.04886533286901267,Normal,0.0,0,0,0,3,1,2,1.0,0.23147521650098238,0.014774031693273055,ELECTRICAL,1,0,0,4,1,0,0
0,No Failure,0.4,0.042881532410435304,Normal,0.0,0,0,0,0,0,2,1.0,0.013386917827664779,0.008162571153159897,HOT_WORK,1,0,1,1,1,0,0
0,No Failure,0.34754383418936324,0.04353358715268028,Normal,0.0,0,0,0,1,0,1,1.0,0.009951801866904324,0.009951801866904324,NONE,0,0,0,2,1,0,0
0,No Failure,0.17797715909465892,0.4307791898270839,Warning,0.0,0,0,0,6,0,1,1.0,0.2689414213699951,0.01798620996209156,HOT_WORK,1,0,0,5,1,0,0
0,No Failure,0.1085106474356546,0.4431694763892203,Warning,0.0,0,0,0,6,0,1,1.0,0.5,0.2689414213699951,HOT_WORK,1,0,0,5,1,1,1
0,No Failure,0.4,0.03645578146574591,Normal,0.0,0,0,0,4,0,2,1.0,0.007391541344281971,0.05215356307841772,NONE,0,1,1,3,1,0,0
0,No Failure,0.39571182365087704,0.055843384766635154,Normal,0.0,0,0,0,0,1,4,1.0,0.09112296101485616,0.03557118927263618,CONFINED_SPACE,1,1,1,1,1,0,0
0,No Failure,0.3211535435398463,0.0818396905380929,Normal,0.0,0,0,0,3,0,0,1.0,0.009951801866904324,0.009951801866904324,NONE,0,0,0,2,1,0,0
0,No Failure,0.4,0.17449198913980454,Normal,0.0,0,0,0,7,0,1,1.0,0.52497918747894,0.7502601055951177,CONFINED_SPACE,1,1,1,8,1,1,0
0,No Failure,0.4,0.2261471227633065,Normal,0.0,0,0,0,6,0,2,1.0,0.2689414213699951,0.01798620996209156,CONFINED_SPACE,1,0,0,5,1,0,0
0,No Failure,0.4,0.019777684820254587,Normal,0.0,0,0,0,2,0,0,1.0,0.008162571153159897,0.008162571153159897,NONE,0,0,0,1,1,0,0
0,No Failure,0.2028441283965158,0.03046938611918288,Normal,0.0,0,0,0,2,0,1,1.0,0.004966801650056961,0.03557118927263618,NONE,0,1,1,1,1,0,0
0,No Failure,0.4,0.05560623849844352,Normal,0.0,0,0,0,3,0,2,1.0,0.014774031693273055,0.014774031693273055,NONE,0,0,0,4,1,0,0
0,No Failure,0.3450220939196845,0.059013347649453346,Normal,0.0,0,0,0,1,0,1,1.0,0.0066928509242848554,0.0066928509242848554,NONE,0,0,0,0,1,0,0
0,No Failure,0.28379340762217004,0.34228861057199284,Normal,0.0,0,0,0,3,0,0,1.0,0.0060598014915841155,0.04310725494108614,NONE,0,1,1,2,1,0,0
0,No Failure,0.15631745643742023,0.2043392154766482,Normal,0.125,1,0,0,8,0,0,0.875,0.6456563062257954,0.401312339887548,CONFINED_SPACE,1,0,0,8,1,1,0
0,No Failure,0.2497093332723888,0.14803668340897658,Normal,0.0,0,0,0,1,0,0,1.0,0.0066928509242848554,0.0066928509242848554,NONE,0,0,0,0,1,0,0
0,No Failure,0.20595343231627475,0.1241922410343832,Normal,0.0,0,0,0,1,0,0,1.0,0.009951801866904324,0.009951801866904324,NONE,0,0,0,2,1,0,0
0,No Failure,0.4,0.06072557368681133,Normal,0.0,0,0,0,7,0,2,1.0,0.549833997312478,0.3100255188723876,ELECTRICAL,1,0,0,6,1,1,0
0,No Failure,0.3680752046988898,0.03859028513233586,Normal,0.0,0,0,0,1,2,4,1.0,0.016302499371440946,0.009951801866904324,HOT_WORK,1,0,1,2,1,0,0
0,No Failure,0.21927804562921335,0.19646624137166346,Normal,0.0,0,0,0,1,0,4,1.0,0.013386917827664779,0.425557483188341,NONE,0,1,1,1,1,1,0
0,No Failure,0.4,0.8351152199366589,Critical,0.0,0,0,0,5,0,3,1.0,0.4255574831883411,0.6681877721681662,HOT_WORK,1,1,1,6,1,1,1
0,No Failure,0.4,0.01909160737101827,Normal,0.0,0,0,0,2,0,1,1.0,0.19781611144141825,0.012128434984274237,HOT_WORK,1,0,0,3,1,0,0
0,No Failure,0.3999938291058241,0.08398152475476629,Normal,0.0,0,0,0,1,0,2,1.0,0.004966801650056961,0.03557118927263618,NONE,0,1,1,1,1,0,0
0,No Failure,0.16276460305116847,0.19447731749382033,Normal,0.0,0,0,0,2,0,2,1.0,0.13010847436299786,0.05215356307841772,HOT_WORK,1,1,1,3,1,0,0
0,No Failure,0.30345167798968237,0.11834535868794754,Normal,0.0,0,0,0,8,0,2,1.0,0.28905049737499605,0.13010847436299786,HOT_WORK,1,1,1,8,1,0,0
0,No Failure,0.4,0.11893006234967098,Normal,0.0,0,0,0,1,0,1,1.0,0.35434369377420455,0.16798161486607552,ELECTRICAL,1,0,0,2,1,1,0
0,No Failure,0.15690071386108664,0.17019477061700516,Normal,0.0,0,0,0,3,0,0,1.0,0.012128434984274237,0.012128434984274237,NONE,0,0,0,3,1,0,0
0,No Failure,0.1,0.17485218423308302,Normal,0.0,0,0,0,9,0,1,1.0,0.7310585786300049,0.5,HOT_WORK,1,0,0,10,1,1,0
0,No Failure,0.1,0.09793836498901554,Normal,0.0,0,0,0,3,0,2,1.0,0.009013298652847822,0.06297335605699649,NONE,0,1,1,4,1,0,0
0,No Failure,0.17442834421768869,0.30879247427249296,Normal,0.0,0,0,0,3,0,2,1.0,0.0060598014915841155,0.04310725494108614,NONE,0,1,1,2,1,0,0
0,No Failure,0.33040603083043574,0.04340918754831281,Normal,0.0,0,0,0,3,0,1,1.0,0.3318122278318339,0.9088770389851438,ELECTRICAL,1,1,1,4,0,1,0
0,No Failure,0.4,0.1371579789787793,Normal,0.0,0,0,0,8,0,0,1.0,0.5986876601124521,0.3543436937742046,HOT_WORK,1,0,0,7,1,1,0
0,No Failure,0.2394790014380647,0.0313937606381576,Normal,0.0,0,0,0,4,0,0,1.0,0.012128434984274237,0.012128434984274237,NONE,0,0,0,3,1,0,0
0,No Failure,0.17482859646255255,0.038480635024854,Normal,0.0,0,0,0,4,0,1,1.0,0.45016600268752216,0.23147521650098238,HOT_WORK,1,0,0,4,1,1,0
0,No Failure,0.1,0.0897744923947123,Normal,0.0,0,0,0,2,1,0,1.0,0.10909682119561294,0.24973989440488234,ELECTRICAL,1,1,1,2,0,0,0
0,No Failure,0.255719987013434,0.08452447458874966,Normal,0.0,0,0,0,0,0,2,1.0,0.0066928509242848554,0.0066928509242848554,NONE,0,0,0,0,1,0,0
0,No Failure,0.2401577556362686,0.18379608047217874,Normal,0.0,0,0,0,2,0,1,1.0,0.19781611144141825,0.012128434984274237,ELECTRICAL,1,0,0,3,1,0,0
0,No Failure,0.268173555897105,0.06039862172963221,Normal,0.0,0,0,0,1,0,2,1.0,0.004966801650056961,0.21416501695744142,NONE,0,1,1,1,0,0,0
0,No Failure,0.21176134531079924,0.01950700730815427,Normal,0.0,0,0,0,3,0,1,1.0,0.19781611144141825,0.012128434984274237,ELECTRICAL,1,0,0,3,1,0,0
0,No Failure,0.23424105526106595,0.07302084034292601,Normal,0.0,0,0,0,0,1,1,1.0,0.008162571153159897,0.008162571153159897,NONE,0,0,0,1,1,0,0
0,No Failure,0.1,0.036648506025877256,Normal,0.0,0,0,0,4,0,0,1.0,0.012128434984274237,0.012128434984274237,NONE,0,0,0,3,1,0,0
0,No Failure,0.4,0.03210301581470153,Normal,0.0,0,0,0,4,0,1,1.0,0.2689414213699951,0.01798620996209156,ELECTRICAL,1,0,0,5,1,0,0
0,No Failure,0.30173215847148516,0.02722117778101051,Normal,0.0,0,0,0,3,0,0,1.0,0.009951801866904324,0.009951801866904324,NONE,0,0,0,2,1,0,0
0,No Failure,0.1,0.05265612713999503,Normal,0.0,0,0,0,6,0,1,1.0,0.2689414213699951,0.01798620996209156,HOT_WORK,1,0,0,5,1,0,0
0,No Failure,0.4,0.021786935186131628,Normal,0.0,0,0,0,5,1,0,1.0,0.549833997312478,0.3100255188723876,HOT_WORK,1,0,0,6,1,1,0
0,No Failure,0.1,0.1118435654462062,Normal,0.0,0,0,0,2,1,0,1.0,0.009951801866904324,0.009951801866904324,NONE,0,0,0,2,1,0,0
0,No Failure,0.3095115875769643,0.4770286197255074,Warning,0.0,0,0,0,1,1,1,1.0,0.10909682119561294,0.24973989440488234,HOT_WORK,1,1,1,2,0,0,1
0,No Failure,0.13238394513777077,0.0831527154377066,Normal,0.0,0,0,0,0,0,2,1.0,0.549833997312478,0.03557118927263618,ELECTRICAL,1,1,0,1,1,0,0
0,No Failure,0.19220665210041996,0.26098127664756204,Normal,0.0,0,0,0,3,0,0,1.0,0.0060598014915841155,0.04310725494108614,NONE,0,1,1,2,1,0,0
0,No Failure,0.3009542447171664,0.02129032032825172,Normal,0.0,0,0,0,0,0,0,1.0,0.09112296101485616,0.03557118927263618,CONFINED_SPACE,1,1,1,1,1,0,0
0,No Failure,0.4,0.05396697554393094,Normal,0.0,0,0,0,2,0,1,1.0,0.0008244246863982953,0.009951801866904324,NONE,0,0,1,2,1,0,0
0,No Failure,0.1,0.1814285969155679,Normal,0.0,0,0,0,3,0,4,1.0,0.1544652650835347,0.06297335605699649,HOT_WORK,1,1,1,4,1,0,0
0,No Failure,0.17741608406141304,0.15420192182043366,Normal,0.0,0,0,0,0,1,3,1.0,0.0066928509242848554,0.0066928509242848554,NONE,0,0,0,0,1,0,0
0,No Failure,0.1,0.029984538924836036,Normal,0.0,0,0,0,7,0,1,1.0,0.549833997312478,0.3100255188723876,HOT_WORK,1,0,0,6,1,1,0
0,No Failure,0.30092527841797695,0.4613892401323431,Warning,0.0,0,0,0,5,2,0,1.0,0.21416501695744142,0.4255574831883411,HOT_WORK,1,1,1,6,0,0,1
0,No Failure,0.14554191650930742,0.19398625347278073,Normal,0.0,0,0,0,5,1,2,1.0,0.4255574831883411,0.6681877721681662,HOT_WORK,1,1,1,6,1,1,0
0,No Failure,0.35343483599082975,0.05856036372376599,Normal,0.0,0,0,0,6,1,1,1.0,0.01098694263059318,0.3775406687981454,NONE,0,1,1,5,0,0,0
0,No Failure,0.18202409514418955,0.13141647750889218,Normal,0.0,0,0,0,3,0,0,1.0,0.06297335605699649,0.23147521650098238,ELECTRICAL,1,0,1,4,1,1,0
0,No Failure,0.23665219285844952,0.12906214952600317,Normal,0.0,0,0,0,9,1,2,1.0,0.5,0.04742587317756678,HOT_WORK,1,0,0,10,1,0,0
